Symbol,Name Company
AGM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU AN GIANG
AGP,CÔNG TY CỔ PHẦN DƯỢC PHẨM AGIMEXPHARM
AGX,CÔNG TY CỔ PHẦN THỰC PHẨM NÔNG SẢN XUẤT KHẨU SÀI GÒN
ALC,CTCP ÂU LẠC
ALP,CÔNG TY CỔ PHẦN ĐẦU TƯ ALPHANAM
ALS,CTCP LOGISTICS HÀNG KHÔNG
ALT,CTCP VĂN HÓA TÂN BÌNH
ALV,CÔNG TY CỔ PHẦN XÂY DỰNG ALVICO
AMC,CÔNG TY CỔ PHẦN KHOÁNG SẢN Á CHÂU
AMD,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KHOÁNG SẢN FLC STONE
AME,CÔNG TY CỔ PHẦN ALPHANAM E&C
AMP,CÔNG TY CỔ PHẦN ARMEPHACO
AMS,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG AMECC
AMV,CÔNG TY CỔ PHẦN SXKD DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ
ANT,CÔNG TY CỔ PHẦN RAU QUẢ THỰC PHẨM AN GIANG
ANV,CÔNG TY CỔ PHẦN NAM VIỆT
AON,CÔNG TY TNHH AON VIỆT NAM
APC,CÔNG TY CỔ PHẦN CHIẾU XẠ AN PHÚ
APF,CÔNG TY CỔ PHẦN NÔNG SẢN THỰC PHẨM QUẢNG NGÃI
APH,CÔNG TY CỔ PHẦN TẬP ĐOÀN AN PHÁT HOLDINGS
API,CÔNG TY CỔ PHẦN ĐẦU TƯ CHÂU Á - THÁI BÌNH DƯƠNG
APL,CÔNG TY CỔ PHẦN CƠ KHÍ VÀ THIẾT BỊ ÁP LỰC – VVMI
APP,CTCP PHÁT TRIỂN PHỤ GIA VÀ SẢN PHẨM DẦU MỎ
APT,CÔNG TY CỔ PHẦN KINH DOANH THỦY HẢI SẢN SÀI GÒN
AQN,CÔNG TY CỔ PHẦN 28 QUẢNG NGÃI
ARM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU HÀNG KHÔNG
ASA,CÔNG TY CỔ PHẦN ASA
ASD,CÔNG TY CỔ PHẦN SÔNG ĐÀ HÀ NỘI
ASG,CÔNG TY CỔ PHẦN TẬP ĐOÀN ASG
ASM,CÔNG TY CỔ PHẦN TẬP ĐOÀN SAO MAI
ASP,CÔNG TY CỔ PHẦN TẬP ĐOÀN DẦU KHÍ AN PHA
AST,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG TASECO
ATA,CÔNG TY CỔ PHẦN NTACO
ATB,CÔNG TY CỔ PHẦN AN THỊNH
ATC,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU VIỄN THÔNG A
ATD,CÔNG TY CỔ PHẦN 28 ĐÀ NẴNG
ATG,CÔNG TY CỔ PHẦN AN TRƯỜNG AN
ATP,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ AN THÀNH
ATS,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM ATESCO
AUM,CÔNG TY CỔ PHẦN VINACAFE SƠN THÀNH
AVA,CÔNG TY TNHH KIỂM TOÁN VÀ THẨM ĐỊNH GIÁ VIỆT NAM
AVC,CÔNG TY CỔ PHẦN THỦY ĐIỆN A VƯƠNG
AVF,CÔNG TY CỔ PHẦN VIỆT AN
AVG,CTCP NGHE NHÌN TOÀN CẦU
AVS,CÔNG TY CỔ PHẦN CK ÂU VIỆT
B82,CÔNG TY CỔ PHẦN 482
BAF,CÔNG TY CỔ PHẦN NÔNG NGHIỆP BAF VIỆT NAM
BAL,CÔNG TY CỔ PHẦN BAO BÌ BIA – RƯỢU – NƯỚC GIẢI KHÁT
BAM,CÔNG TY CỔ PHẦN KHOÁNG SẢN VÀ LUYỆN KIM BẮC Á
BAS,CÔNG TY CỔ PHẦN BASA
BAV,CTCP HÀNG KHÔNG TRE VIỆT
BAX,CÔNG TY CỔ PHẦN THỐNG NHẤT
BBC,CTCP BIBICA
BBH,CÔNG TY CỔ PHẦN BAO BÌ HOÀNG THẠCH
BBL,CÔNG TY CỔ PHẦN BOURBON BẾN LỨC
BBM,CÔNG TY CỔ PHẦN BIA HÀ NỘI - NAM ĐỊNH
BBS,CÔNG TY CỔ PHẦN VICEM BAO BÌ BÚT SƠN
BBT,CTCP BÔNG BẠCH TUYẾT
BCA,CÔNG TY CỔ PHẦN B.C.H
BCB,CÔNG TY CỔ PHẦN 397
BCC,CTCP XI MĂNG BỈM SƠN
BCE,CTCP XÂY DỰNG VÀ GIAO THÔNG BÌNH DƯƠNG
BCF,CÔNG TY CỔ PHẦN THỰC PHẨM BÍCH CHI
BCG,CÔNG TY CỔ PHẦN BAMBOO CAPITAL
BCH,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC BẢO CHÂU
BCI,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BÌNH CHÁNH
BCM,TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP – CTCP
BCO,CÔNG TY CỔ PHẦN XÂY DỰNG BÌNH PHƯỚC
BCP,CÔNG TY CỔ PHẦN DƯỢC ENLIE
BCV,CÔNG TY CỔ PHẦN DU LỊCH VÀ THƯƠNG MẠI BẰNG GIANG CAO BẰNG - VIMICO
BDB,CTCP SÁCH VÀ THIẾT BỊ BÌNH ĐỊNH
BDC,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG - CTCP
BDF,CÔNG TY CỔ PHẦN GIÀY BÌNH ĐỊNH
BDG,CÔNG TY CỔ PHẦN MAY MẶC BÌNH DƯƠNG
BDP,CÔNG TY CỔ PHẦN BIỆT THỰ VÀ KHÁCH SẠN BIỂN ĐÔNG PHƯƠNG
BDS,CÔNG TY CỔ PHẦN ĐƯỜNG BÌNH ĐỊNH
BDT,CÔNG TY CỔ PHẦN XÂY LẮP VÀ VẬT LIỆU XÂY DỰNG ĐỒNG THÁP
BDW,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC BÌNH ĐỊNH
BED,CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC ĐÀ NẴNG
BEL,CÔNG TY CỔ PHẦN ĐIỆN TỬ BIÊN HÒA
BFC,CÔNG TY CỔ PHẦN PHÂN BÓN BÌNH ĐIỀN
BFI,CÔNG TY CỔ PHẦN ĐẦU TƯ TÀI CHÍNH BIDV
BGM,CÔNG TY CỔ PHẦN KHAI THÁC VÀ CHẾ BIẾN KHOÁNG SẢN BẮC GIANG
BGT,CÔNG TY CỔ PHẦN CÔNG TRÌNH GIAO THÔNG TỈNH BÀ RỊA - VŨNG TÀU
BGW,CÔNG TY CỔ PHẦN NƯỚC SẠCH BẮC GIANG
BHA,CÔNG TY CỔ PHẦN THỦY ĐIỆN BẮC HÀ
BHC,CÔNG TY CỔ PHẦN BÊ TÔNG BIÊN HÒA
BHG,CÔNG TY CỔ PHẦN CHÈ BIỂN HỒ
BHK,CÔNG TY CỔ PHẦN BIA HÀ NỘI – KIM BÀI
BHN,TỔNG CÔNG TY CỔ PHẦN BIA – RƯỢU – NƯỚC GIẢI KHÁT HÀ NỘI
BHP,CÔNG TY CỔ PHẦN BIA HÀ NỘI - HẢI PHÒNG
BHS,CÔNG TY CỔ PHẦN ĐƯỜNG BIÊN HOÀ
BHT,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BẠCH ĐẰNG TMC
BHV,CÔNG TY CỔ PHẦN BÁ HIẾN
BIG,CÔNG TY CỔ PHẦN BIG INVEST GROUP
BII,CÔNG TY CỔ PHẦN LOUIS LAND
BIO,CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NHA TRANG
BJC,CÔNG TY CỔ PHẦN VRG – BẢO LỘC
BKC,CÔNG TY CỔ PHẦN KHOÁNG SẢN BẮC KẠN
BKG,CÔNG TY CỔ PHẦN ĐẦU TƯ BKG VIỆT NAM
BKH,CÔNG TY CỔ PHẦN BÁNH MỨT KẸO HÀ NỘI
BLF,CTCP THUỶ SẢN BẠC LIÊU
BLN,CÔNG TY CỔ PHẦN VẬN TẢI VÀ DỊCH VỤ LIÊN NINH
BLT,CÔNG TY CỔ PHẦN LƯƠNG THỰC BÌNH ĐỊNH
BLU,TRUNG TÂM DỊCH VỤ ĐÔ THỊ TỈNH BẠC LIÊU (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN CÔNG TRÌNH ĐÔ THỊ BẠC LIÊU)
BLW,CÔNG TY CỔ PHẦN CẤP NƯỚC BẠC LIÊU
BM9,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG 319 MIỀN NAM
BMC,CÔNG TY CỔ PHẦN KHOÁNG SẢN BÌNH ĐỊNH
BMD,CÔNG TY CỔ PHẦN MÔI TRƯỜNG VÀ DỊCH VỤ ĐÔ THỊ BÌNH THUẬN
BMF,CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG VÀ CHẤT ĐỐT ĐỒNG NAI
BMG,CÔNG TY CỔ PHẦN MAY BÌNH MINH
BMI,TỔNG CÔNG TY CỔ PHẦN BẢO MINH
BMJ,CÔNG TY CỔ PHẦN KHOÁNG SẢN MIỀN ĐÔNG AHP
BMN,CÔNG TY CỔ PHẦN 715
BMP,CTCP NHỰA BÌNH MINH
BMV,CÔNG TY CỔ PHẦN BỘT MỲ VINAFOOD 1
BNA,CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT BẢO NGỌC
BNC,CÔNG TY CỔ PHẦN DỊCH VỤ CÁP TREO BÀ NÀ
BNW,CÔNG TY CỔ PHẦN NƯỚC SẠCH BẮC NINH
BOT,CÔNG TY CỔ PHẦN BOT CẦU THÁI HÀ
BPC,CÔNG TY CỔ PHẦN VICEM BAO BÌ BỈM SƠN
BPT,CÔNG TY CỔ PHẦN CẤP NƯỚC PHÚ THỌ
BPW,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC BÌNH PHƯỚC
BQB,CÔNG TY CỔ PHẦN BIA HÀ NỘI - QUẢNG BÌNH
BRC,CÔNG TY CỔ PHẦN CAO SU BẾN THÀNH
BRM,CÔNG TY CỔ PHẦN CẦU ĐƯỜNG ĐÀ NẴNG
BRR,CÔNG TY CỔ PHẦN CAO SU BÀ RỊA
BRS,CÔNG TY CỔ PHẦN DỊCH VỤ ĐÔ THỊ BÀ RỊA
BRV,CÔNG TY CỔ PHẦN BIA RƯỢU NƯỚC GIẢI KHÁT VIGER
BSA,CÔNG TY CỔ PHẦN THỦY ĐIỆN BUÔN ĐÔN
BSC,CTCP DỊCH VỤ BẾN THÀNH
BSD,"CÔNG TY CỔ PHẦN BIA, RƯỢU SÀI GÒN - ĐỒNG XUÂN"
BSG,CÔNG TY CỔ PHẦN XE KHÁCH SÀI GÒN
BSH,CÔNG TY CỔ PHẦN BIA SÀI GÒN - HÀ NỘI
BSL,CÔNG TY CỔ PHẦN BIA SÀI GÒN – SÔNG LAM
BSP,CÔNG TY CỔ PHẦN BIA SÀI GÒN - PHÚ THỌ
BSQ,CÔNG TY CỔ PHẦN BIA SÀI GÒN - QUẢNG NGÃI
BSR,CÔNG TY CỔ PHẦN LỌC HÓA DẦU BÌNH SƠN
BST,CTCP SÁCH VÀ THIẾT BỊ BÌNH THUẬN
BT1,CÔNG TY CỔ PHẦN BẢO VỆ THỰC VẬT 1 TRUNG ƯƠNG
BT6,CÔNG TY CP BETON6
BTA,CTCP BẤT ĐỘNG SẢN BÌNH THIÊN AN
BTB,CÔNG TY CỔ PHẦN BIA HÀ NỘI - THÁI BÌNH
BTC,CTCP CƠ KHÍ VÀ XÂY DỰNG BÌNH TRIỆU
BTD,CÔNG TY CỔ PHẦN BÊ TÔNG LY TÂM THỦ ĐỨC
BTG,CTCP BAO BÌ TIỀN GIANG
BTH,CÔNG TY CỔ PHẦN CHẾ TẠO BIẾN THẾ VÀ VẬT LIỆU ĐIỆN HÀ NỘI
BTJ,CTCP VÀNG BẠC ĐÁ QUÝ BẾN THÀNH
BTL,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC BẾN THÀNH
BTN,CÔNG TY CỔ PHẦN GẠCH TUY NEN BÌNH ĐỊNH
BTP,CÔNG TY CỔ PHẦN NHIỆT ĐIỆN BÀ RỊA
BTR,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT BÌNH TRỊ THIÊN
BTS,CÔNG TY CỔ PHẦN XI MĂNG VICEM BÚT SƠN
BTT,CÔNG TY CP THƯƠNG MẠI - DỊCH VỤ BẾN THÀNH
BTU,CÔNG TY CỔ PHẦN CÔNG TRÌNH ĐÔ THỊ BẾN TRE
BTV,CÔNG TY CỔ PHẦN DỊCH VỤ DU LỊCH BẾN THÀNH
BTW,CÔNG TY CỔ PHẦN CẤP NƯỚC BẾN THÀNH
BUD,CÔNG TY CỔ PHẦN KHOA HỌC CÔNG NGHỆ VIỆT NAM
BVA,CÔNG TY CỔ PHẦN SẢN XUẤT & THƯƠNG MẠI BẮC VIỆT
BVC,CTCP NHỰA BẢO VÂN
BVG,CÔNG TY CỔ PHẦN GROUP BẮC VIỆT
BVH,TẬP ĐOÀN BẢO VIỆT
BVL,CÔNG TY CỔ PHẦN BV LAND
BVN,CÔNG TY CỔ PHẦN BÔNG VIỆT NAM
BWA,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC VÀ XÂY DỰNG BẢO LỘC
BWE,CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG
BWS,CÔNG TY CỔ PHẦN CẤP NƯỚC BÀ RỊA - VŨNG TÀU
BXD,CTCP VẬN TẢI VÀ QUẢN LÝ BẾN XE ĐÀ NẴNG
BXH,CÔNG TY CỔ PHẦM VICEM BAO BÌ HẢI PHÒNG
BXT,BAN QUẢN LÝ VÀ ĐIỀU HÀNH BẾN XE TÀU (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN BẾN XE TÀU HẬU GIANG)
C12,CÔNG TY CỔ PHẦN CẦU 12
C21,CÔNG TY CỔ PHẦN THẾ KỶ 21
C22,CÔNG TY CỔ PHẦN 22
C32,CÔNG TY CỔ PHẦN CIC39
C36,CÔNG TY CỔ PHẦN QUẢN LÝ VÀ XÂY DỰNG CÔNG TRÌNH GIAO THÔNG 236
C42,CTCP XÂY DỰNG THỦY LỢI 42
C47,CÔNG TY CỔ PHẦN XÂY DỰNG 47
C4G,CÔNG TY CỔ PHẦN TẬP ĐOÀN CIENCO4
C69,CÔNG TY CỔ PHẦN XÂY DỰNG 1369
C71,CÔNG TY CỔ PHẦN 471
C92,CTCP XÂY DỰNG VÀ ĐẦU TƯ 492
CAA,CÔNG TY TNHH TƯ VẤN VÀ KIỂM TOÁN CA&A
CAB,CÔNG TY CỔ PHẦN TỔNG CÔNG TY TRUYỀN HÌNH CÁP VIỆT NAM
CAD,CÔNG TY CP CHẾ BIẾN VÀ XNK THUỶ SẢN CADOVIMEX
CAF,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU NÔNG SẢN THỰC PHẨM CÀ MAU
CAG,CÔNG TY CỔ PHẦN CẢNG AN GIANG
CAM,CÔNG TY CỔ PHẦN MÔI TRƯỜNG ĐÔ THỊ CÀ MAU
CAN,CÔNG TY CỔ PHẦN ĐỒ HỘP HẠ LONG
CAP,CÔNG TY CỔ PHẦN LÂM NÔNG SẢN THỰC PHẨM YÊN BÁI
CAR,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIÁO DỤC TRÍ VIỆT
CAT,CÔNG TY CỔ PHẦN THỦY SẢN CÀ MAU
CAV,CÔNG TY CỔ PHẦN DÂY CÁP ĐIỆN VIỆT NAM
CBC,CÔNG TY CỔ PHẦN CHÈ BÀU CẠN
CBI,CÔNG TY CỔ PHẦN GANG THÉP CAO BẰNG
CBS,CÔNG TY CỔ PHẦN MÍA ĐƯỜNG CAO BẰNG
CBV,CÔNG TY CỔ PHẦN CTCBIO VIỆT NAM
CC1,TỔNG CÔNG TY XÂY DỰNG SỐ 1 – CTCP
CC4,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG SỐ 4
CC7,CTCP XÂY DỰNG CÔNG TRÌNH GIAO THÔNG 710
CCA,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN CẦN THƠ
CCH,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ XÂY DỰNG CCIC HÀ NỘI
CCI,CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP THƯƠNG MẠI CỦ CHI
CCL,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐÔ THỊ DẦU KHÍ CỬU LONG
CCM,CÔNG TY CỔ PHẦN KHOÁNG SẢN VÀ XI MĂNG CẦN THƠ
CCP,CÔNG TY CỔ PHẦN CẢNG CỬA CẤM HẢI PHÒNG
CCR,CÔNG TY CỔ PHẦN CẢNG CAM RANH
CCT,CÔNG TY CỔ PHẦN CẢNG CẦN THƠ
CCV,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG CÔNG NGHIỆP VÀ ĐÔ THỊ VIỆT NAM
CDC,CÔNG TY CỔ PHẦN CHƯƠNG DƯƠNG
CDG,CÔNG TY CỔ PHẦN CẦU ĐUỐNG
CDH,CÔNG TY CỔ PHẦN CÔNG TRÌNH CÔNG CỘNG VÀ DỊCH VỤ DU LỊCH HẢI PHÒNG
CDN,CÔNG TY CỔ PHẦN CẢNG ĐÀ NẴNG
CDO,CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ VÀ PHÁT TRIỂN ĐÔ THỊ
CDP,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA
CDR,CÔNG TY CỔ PHẦN XÂY DỰNG CAO SU ĐỒNG NAI
CDV,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ THIẾT KẾ XÂY DỰNG VIỆT NAM
CE1,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THIẾT BỊ CÔNG NGHIỆP CIE1
CEC,CÔNG TY CỔ PHẦN THIẾT KẾ CÔNG NGHIỆP HÓA CHẤT
CEE,CÔNG TY CỔ PHẦN XÂY DỰNG HẠ TẦNG CII
CEG,CÔNG TY CỔ PHẦN TẬP ĐOÀN XÂY DỰNG VÀ THIẾT BỊ CÔNG NGHIỆP
CEN,CÔNG TY CỔ PHẦN CENCON VIỆT NAM
CEO,CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.O
CER,CÔNG TY CỔ PHẦN ĐỊA CHÍNH VÀ TÀI NGUYÊN MÔI TRƯỜNG
CET,CÔNG TY CỔ PHẦN HTC HOLDING
CFC,CÔNG TY CỔ PHẦN CAFICO VIỆT NAM
CFM,CÔNG TY CỔ PHẦN ĐẦU TƯ CFM
CFV,CÔNG TY CỔ PHẦN CÀ PHÊ THẮNG LỢI
CGC,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CẦN GIỜ
CGL,CÔNG TY CỔ PHẦN THƯƠNG MẠI GIA LAI
CGP,CÔNG TY CỔ PHẦN DƯỢC PHẨM CẦN GIỜ
CGV,CÔNG TY CỔ PHẦN VINACEGLASS
CH5,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 5 HÀ NỘI
CHC,CÔNG TY CỔ PHẦN CẨM HÀ
CHP,CÔNG TY CỔ PHẦN THUỶ ĐIỆN MIỀN TRUNG
CHS,CÔNG TY CỔ PHẦN CHIẾU SÁNG CÔNG CỘNG THÀNH PHỐ HỒ CHÍ MINH
CI5,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG SỐ 5
CIA,CÔNG TY CỔ PHẦN DỊCH VỤ SÂN BAY QUỐC TẾ CAM RANH
CIC,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG (COTEC)
CID,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ PHÁT TRIỂN CƠ SỞ HẠ TẦNG
CIE,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG CÔNG TRÌNH 128 - CIENCO 1
CIG,CÔNG TY CỔ PHẦN COMA 18
CII,CÔNG TY CỔ PHẦN ĐẦU TƯ HẠ TẦNG KỸ THUẬT THÀNH PHỐ HỒ CHÍ MINH
CIP,CÔNG TY CỔ PHẦN XÂY LẮP VÀ SẢN XUẤT CÔNG NGHIỆP
CIV,CTCP ĐẦU TƯ VINAMOTOR
CJC,CÔNG TY CỔ PHẦN CƠ ĐIỆN MIỀN TRUNG
CJV,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VIỆT NHẬT
CK8,CÔNG TY CỔ PHẦN CƠ KHÍ 120
CKA,CÔNG TY CỔ PHẦN CƠ KHÍ AN GIANG
CKD,CÔNG TY CỔ PHẦN CƠ KHÍ ĐÔNG ANH LICOGI
CKG,CÔNG TY CỔ PHẦN TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG
CKH,CÔNG TY CỔ PHẦN CƠ KHÍ CHẾ TẠO HẢI PHÒNG
CKI,CTCP CƠ KHÍ NGÀNH IN
CKM,CÔNG TY CỔ PHẦN CƠ KHÍ MỎ VIỆT BẮC - VVMI
CKV,CÔNG TY CỔ PHẦN COKYVINA
CLC,CÔNG TY CP CÁT LỢI
CLG,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN NHÀ ĐẤT COTEC
CLH,CÔNG TY CỔ PHẦN XI MĂNG LA HIÊN VVMI
CLL,CÔNG TY CỔ PHẦN CẢNG CÁT LÁI
CLM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THAN - VINACOMIN
CLP,CÔNG TY CỔ PHẦN THỦY SẢN CỬU LONG
CLW,CÔNG TY CỔ PHẦN CẤP NƯỚC CHỢ LỚN
CLX,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ ĐẦU TƯ CHỢ LỚN
CMC,CÔNG TY CỔ PHẦN ĐẦU TƯ CMC
CMD,CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT THÀNH PHỐ HỒ CHÍ MINH
CMF,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX
CMG,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ CMC
CMI,CÔNG TY CỔ PHẦN CMISTONE VIỆT NAM
CMK,CÔNG TY CỔ PHẦN CƠ KHÍ MẠO KHÊ - VINACOMIN
CMN,CÔNG TY CỔ PHẦN LƯƠNG THỰC THỰC PHẨM COLUSA-MILIKET
CMP,CÔNG TY CỔ PHẦN CẢNG CHÂN MÂY
CMS,CÔNG TY CỔ PHẦN TẬP ĐOÀN CMH VIỆT NAM
CMT,CÔNG TY CỔ PHẦN CÔNG NGHỆ MẠNG VÀ TRUYỀN THÔNG
CMV,CÔNG TY CỔ PHẦN THƯƠNG NGHIỆP CÀ MAU
CMW,CÔNG TY CỔ PHẦN CẤP NƯỚC CÀ MAU
CMX,CÔNG TY CP CAMIMEX GROUP
CNA,CÔNG TY TNHH MTV ĐẦU TƯ PHÁT TRIỂN CHÈ NGHỆ AN (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN TỔNG CÔNG TY CHÈ NGHỆ AN)
CNC,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO TRAPHACO
CNG,CÔNG TY CỔ PHẦN CNG VIỆT NAM
CNH,CÔNG TY CỔ PHẦN CẢNG NHA TRANG
CNN,"CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ, THIẾT BỊ VÀ KIỂM ĐỊNH XÂY DỰNG - CONINCO"
CNS,TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TNHH MỘT THÀNH VIÊN
CNT,CÔNG TY CỔ PHẦN TẬP ĐOÀN CNT
CNX,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TƯ VẤN CIC
COM,CÔNG TY CỔ PHẦN VẬT TƯ - XĂNG DẦU
CPA,CÔNG TY CỔ PHẦN CÀ PHÊ PHƯỚC AN
CPC,CÔNG TY CỔ PHẦN THUỐC SÁT TRÙNG CẦN THƠ
CPH,CÔNG TY CỔ PHẦN PHỤC VỤ MAI TÁNG HẢI PHÒNG
CPI,CÔNG TY CỔ PHẦN ĐẦU TƯ CẢNG CÁI LÂN
CPT,CTCP XÂY LẮP BƯU ĐIỆN
CPW,CÔNG TY CỔ PHẦN CÔNG TRÌNH GIAO THÔNG CÔNG CHÁNH
CQN,CÔNG TY CỔ PHẦN CẢNG QUẢNG NINH
